R,I
0.009667788,28.52936642
0.010806122,27.89713831
0.01224769,27.26597222
0.014272869,27.12394326
0.016749807,25.99056787
0.019384122,25.86132107
0.02322774,24.76306244
0.027071063,22.86675784
0.03089878,21.13071181
0.036263587,19.14821823
0.040538256,17.06009314
0.044691828,14.926491
0.049967115,11.89360068
0.053954322,9.666458131
0.056663802,7.576488844
0.058684446,6.166526444
0.059936094,5.115667447
0.062073429,4.163656706
0.063841378,3.389616953
0.066577888,2.809978745
0.06894716,2.418378898
0.071404136,2.005302312
0.074982791,1.693214848
0.077112928,1.457593678
0.082117914,1.163359106
0.086841606,0.928740125
0.091198291,0.755545499
0.095771269,0.626195491
0.0998788,0.509541367
0.105624156,0.406780255
0.113259366,0.336899125
0.120621877,0.249600586
0.129353504,0.191890741
0.138727079,0.139512699
0.150864077,0.101383496
0.151960367,0.081071716
0.155216185,0.062430882
0.172265029,0.06827591
0.185940556,0.074739109
0.203518079,0.080267408
0.229031046,0.089388978
0.257748429,0.097711527
0.294129953,0.106758247
0.331009855,0.11669796
0.367385202,0.122960463
0.410623492,0.124795469
0.46542394,0.117515283
0.538699916,0.104575967
0.632261827,0.091302008
0.721694834,0.081287556
0.823778078,0.072371538
0.920883161,0.064479377
1.080848678,0.055256882
1.23373399,0.049196035
1.458151577,0.042149512
1.664485152,0.036155176
2.050997418,0.032105552
2.357618088,0.027025397
2.672448293,0.024066831
3.008393903,0.021041948
3.555624104,0.018028035
4.087086912,0.015460489
4.600753359,0.013771243
5.475719354,0.011578428
6.938427089,0.009359063
8.315805937,0.007721876
9.966377952,0.006490769
