R,I
0.009675365,15.43676989
0.01167451,15.05531612
0.014185046,14.67980305
0.017476484,14.57562823
0.020796686,13.95995529
0.024404618,13.88394129
0.027853989,13.31643896
0.032012794,12.76910149
0.036793412,12.01848359
0.043180651,11.09549843
0.051390258,9.682534692
0.058663553,8.152374026
0.066506804,6.492822496
0.073336794,4.804672129
0.078656731,3.303503542
0.080906602,2.450394368
0.085564678,1.884736327
0.09049738,1.370933906
0.096375655,1.054212193
0.102638191,0.795713365
0.108542277,0.635238876
0.115595406,0.479474689
0.122256442,0.355315785
0.13201836,0.27822921
0.141585043,0.202284424
0.149733034,0.158511202
0.160571972,0.121862021
0.174620143,0.088556797
0.179589337,0.07344809
0.202102603,0.081794714
0.225867009,0.089431428
0.25953515,0.101393123
0.302413897,0.11070184
0.345100009,0.120951282
0.39113734,0.118214788
0.443305659,0.117710726
0.51309935,0.10474989
0.569579524,0.09688923
0.636690031,0.089597178
0.726749403,0.07976972
0.795621192,0.072457491
0.895615129,0.064540633
1.02229928,0.0574615
1.142778461,0.052157034
1.277486583,0.046469277
1.448113205,0.040619058
1.664524666,0.035488495
1.873678202,0.032204786
2.123833911,0.029217977
2.407502336,0.025539599
2.710078033,0.022749089
3.008465321,0.020653946
3.386489852,0.01874286
3.759352003,0.017016683
4.173366406,0.015164602
4.66531333,0.013510893
5.251900812,0.011594931
6.121184676,0.010315793
6.938756523,0.009017093
7.865340075,0.00802996
8.916080504,0.006889607
10.10647085,0.006250635
