R,I
0.009640744,1.098721806
0.012127909,1.110627449
0.01670097,1.09856532
0.021905442,1.088441406
0.028532614,1.078666826
0.0379502,1.029187484
0.058413414,0.995450128
0.076089155,0.950464663
0.093099197,0.90945314
0.107748986,0.855788734
0.123839638,0.805482113
0.146359257,0.716282176
0.176629676,0.613249628
0.210240868,0.478610409
0.238372469,0.353834335
0.25565215,0.25250896
0.276104757,0.176834751
0.285998236,0.126345543
0.298250245,0.106707572
0.370010975,0.107915069
0.42823471,0.101547288
0.619381668,0.073079375
0.737174963,0.061442839
0.865208208,0.053643822
1.191904226,0.039395879
1.653379528,0.029468748
2.52846239,0.019648608
3.581631961,0.013889438
5.28993945,0.009446114
7.704927919,0.006548032
10.03951604,0.004908509
