R,I
0.009686856,6.087114006
0.011607082,6.049658815
0.013432578,6.01957486
0.015014198,5.886177421
0.017619368,5.746179517
0.019969369,5.721678113
0.022632802,5.697281182
0.025831131,5.567059821
0.029894415,5.43723277
0.035572944,5.305393128
0.041456968,5.084913975
0.047979364,4.874754488
0.05400558,4.591466061
0.06250224,4.401700776
0.070845263,4.068489025
0.078098545,3.764074185
0.084316533,3.484917444
0.09103174,3.166969745
0.097600528,2.878713423
0.1046458,2.568443706
0.112207624,2.167169951
0.117017316,1.796575124
0.122047657,1.35701077
0.127294242,1.024993725
0.130015404,0.819251251
0.133731146,0.619100596
0.13947667,0.476411278
0.144450439,0.387752534
0.151700855,0.309626525
0.157106811,0.256740078
0.16384496,0.208911901
0.170876158,0.16685906
0.179452963,0.133239596
0.18845579,0.108392621
0.197900876,0.091523355
0.206359245,0.083271971
0.233854849,0.091003391
0.266863763,0.099429032
0.304531928,0.108634768
0.342732368,0.114410234
0.388444628,0.113922395
0.440243353,0.115567638
0.488703794,0.10689519
0.52761302,0.098967474
0.577599559,0.091584211
0.650161595,0.084671322
0.711758497,0.078354594
0.795640079,0.071121415
0.883263279,0.063380625
0.973716684,0.057557066
1.096093722,0.05126826
1.242463235,0.045655742
1.39861643,0.0406673
1.55260807,0.036921928
1.723554628,0.033521496
1.873767163,0.03102806
2.080024871,0.028699646
2.325213463,0.025569932
2.654050323,0.023192961
2.966974161,0.020282727
3.363176197,0.018062305
3.707681043,0.016100242
4.232130009,0.014334288
4.932857697,0.012286969
5.630740737,0.01073756
6.294479627,0.009566622
7.036458544,0.008523376
7.976088971,0.007590292
9.041409842,0.006634717
10.10743058,0.005802198
