R,I
0.009595308,44.60513135
0.010725108,43.61665452
0.011822324,42.67033736
0.013214344,41.72473673
0.014364987,40.83885213
0.016281705,39.1788748
0.018073079,37.61314828
0.02135755,36.03292595
0.024040062,33.93893108
0.026685674,31.98180618
0.030247774,29.56076164
0.033345394,26.84464995
0.035258508,23.96268949
0.037280498,21.79195909
0.039418444,19.81787066
0.041392064,17.36820766
0.043770994,14.39133949
0.045334029,11.285168
0.046625214,9.187211977
0.047952036,7.619778469
0.049317785,6.203232421
0.051791968,5.046432484
0.05401199,4.183472119
0.055936742,3.468904861
0.059150195,2.92834003
0.061260958,2.339436247
0.065233981,1.938002494
0.06850665,1.576597179
0.071941796,1.306682452
0.075547397,1.103321986
0.079893132,0.880810915
0.08273821,0.744082512
0.08749343,0.616548596
0.0912416,0.520718041
0.096480955,0.447831502
0.101321228,0.364318356
0.106404329,0.296379027
0.113315843,0.227907693
0.118997867,0.188889709
0.125843015,0.150795615
0.132146917,0.12971907
0.132178292,0.107689864
0.134064903,0.087711539
0.135039118,0.070138882
0.135077592,0.056100152
0.148878834,0.060235464
0.165231587,0.065874948
0.184651716,0.074756854
0.213652117,0.086327498
0.240435483,0.096137734
0.270576405,0.107062804
0.315286801,0.11473662
0.380395926,0.120549968
0.455801842,0.119808201
0.534953238,0.106565809
0.627849518,0.094787098
0.736895016,0.082755653
0.841128316,0.073678607
0.960128138,0.0643876
1.111316331,0.056241498
1.304392733,0.047308537
1.499326069,0.041333031
1.699501839,0.037499631
1.994672927,0.032739755
2.214239516,0.030282893
2.458033575,0.027493902
2.80585397,0.023583829
3.158419654,0.021401645
3.506170627,0.019430599
3.919563079,0.016992462
4.381592245,0.015139424
4.864017995,0.013745115
5.36226063,0.012252017
6.078323009,0.010910745
6.938427089,0.009359063
7.75612894,0.008495096
8.610305163,0.007570497
10.03594171,0.006489228
