R,I
0.009694678,3.232904229
0.011297443,3.276480432
0.0127158,3.203111149
0.015130844,3.184157591
0.017879765,3.166067696
0.021875821,3.144346139
0.025316927,3.071018171
0.030125235,3.052846238
0.036098676,2.923200319
0.042068661,2.854351917
0.054798524,2.725360675
0.066584211,2.608383446
0.077599566,2.453887085
0.087348158,2.268664659
0.100394644,2.095929845
0.113801085,1.866481006
0.127221737,1.602178148
0.141252683,1.27693718
0.153599702,0.981232118
0.162446831,0.74080426
0.168243715,0.591824829
0.171844331,0.464308023
0.175522004,0.364266468
0.179282641,0.280510616
0.186989643,0.211878658
0.196384557,0.163006502
0.2062515,0.125407249
0.213601403,0.103986785
0.227432727,0.092801045
0.257748429,0.097711527
0.298250245,0.106707572
0.352401893,0.114301645
0.419341634,0.111530108
0.478623136,0.104998854
0.542524349,0.095260815
0.677933691,0.078484907
0.784704289,0.06729114
0.940434869,0.057625424
1.06604341,0.05037071
1.22535693,0.044008423
1.408478859,0.038449752
1.687962212,0.033545378
2.065754367,0.027147569
2.407788114,0.023270171
3.072339479,0.018458497
3.759976764,0.014938074
4.506279945,0.012556481
5.215992725,0.010765636
6.472834335,0.008708267
7.811934375,0.007183219
9.168936195,0.006155802
10.10815043,0.005487112
