R,P
0.071129793,41.4892802
0.077935354,41.2779003
0.083463528,41.12007242
0.091449157,40.91057356
0.099060908,40.72813782
0.104882772,40.59832487
0.111046791,40.46892568
0.118894127,39.17794176
0.125881601,39.05306976
0.131766115,38.95345879
0.136359329,38.87891733
0.136223965,34.67758408
0.13605495,30.05849086
0.137447089,26.038036
0.137276557,22.5697403
0.137140283,20.13080921
0.136936125,16.9575552
0.136732272,14.28450666
0.138097048,12.02513511
0.13795996,10.72567506
0.137788791,9.297003067
0.139198671,8.053488171
0.140622978,6.976298842
0.142061858,6.043188304
0.145164045,5.231544094
0.14664939,4.531802149
0.151535494,3.810141319
0.154806113,3.205446368
0.167441728,2.688125289
0.179229814,2.529024958
0.189669038,2.380860839
0.203021952,2.23994637
0.266519646,1.75489871
0.370255607,1.294337057
0.475198396,1.04479895
0.602659836,0.797008023
0.790952939,0.60682127
1.014631399,0.462608356
1.330648016,0.323267897
1.706102723,0.232746196
2.090842627,0.177887086
2.804717643,0.120648692
3.55613791,0.089440919
4.717303937,0.062460876
6.049837063,0.046274786
8.115428932,0.031385035
10.17532737,0.023956858
