R,P
0.074086034,87.08205625
0.078440111,86.80449929
0.08305008,86.52782699
0.086910791,83.87457136
0.09097356,83.66063612
0.09742657,83.34075597
0.100822747,83.18127484
0.104337311,83.02209889
0.105431085,74.00330091
0.106509875,64.10503516
0.106404143,57.17771739
0.106298516,50.99897937
0.10616663,44.20585792
0.107252946,38.29313073
0.107093281,32.25691879
0.106960409,27.9602609
0.108028021,23.53780379
0.107920782,20.99426183
0.109025048,18.18618733
0.110167963,16.21059827
0.111295222,14.04235973
0.113725562,12.15636852
0.114832183,9.945170746
0.117339759,8.609461869
0.121279427,7.448391266
0.125351368,6.443902453
0.12808865,5.578439413
0.132356342,4.690108218
0.136732272,3.832098595
0.142981937,3.409276258
0.15301003,3.117090923
0.161841695,2.771390362
0.173235533,2.607361875
0.187515024,2.382381453
0.200716293,2.241376984
0.224834439,2.044057145
0.282043058,1.652087142
0.366050727,1.295163728
0.497165269,0.984217113
0.698434582,0.705005691
0.90601612,0.521977377
1.123084583,0.398690807
1.440688598,0.303940728
1.785413547,0.225609357
2.237484673,0.162641622
2.837640354,0.124068537
4.119233515,0.074719424
5.653338043,0.050612424
7.415965182,0.036393395
10.17785419,0.024651662
