R,P
0.248990439,6.953076657
0.248372969,5.224126624
0.250727533,4.153419037
0.250167864,3.211136439
0.249671429,2.554630546
0.252038302,2.031047849
0.254427612,1.614775714
0.25709479,1.43936054
0.26283943,1.319368223
0.281343621,1.24127963
0.304534267,1.134173817
0.349009394,1.033006767
0.386506634,0.942667598
0.458052768,0.786504603
0.549078505,0.655792839
0.658193172,0.546804489
0.788991461,0.455929269
0.935041447,0.380399697
1.083100309,0.317787951
1.283592701,0.26514297
1.573053193,0.202647824
1.972333359,0.154685355
2.417710653,0.121654271
3.100659977,0.090128824
3.931367037,0.066815518
4.819118392,0.052547916
6.180411831,0.038930667
7.663052308,0.030597977
10.16522636,0.021368033
