R,P
0.022914593,488.5554688
0.02538912,472.0651678
0.028461079,469.0607334
0.033396162,464.8866221
0.036591442,462.5181142
0.041966618,458.987959
0.048131392,455.4847475
0.053342303,452.874897
0.057782238,450.8553563
0.058358985,379.5438444
0.058272107,319.7156966
0.058868358,276.9523214
0.058780722,233.2958515
0.060034489,190.738391
0.059930235,156.1434565
0.059826162,127.8231345
0.060423309,107.6054287
0.060996119,85.55122569
0.06158965,69.98977905
0.063625911,57.18583058
0.065015302,49.50535696
0.067936353,40.42301654
0.070988643,33.00693837
0.075011535,26.17508768
0.080113204,19.0390276
0.084674203,15.53617121
0.088522451,13.4323867
0.091426453,10.66573195
0.096607547,8.458114646
0.102158319,7.308116589
0.107920782,5.632121794
0.115375201,4.592973981
0.132159307,3.950798408
0.149665831,3.400580365
0.169533452,3.01187919
0.198732667,2.662503513
0.249423581,2.278572081
0.320198038,1.89262445
0.397208661,1.575063198
0.470852741,1.352250049
0.57717712,1.063494301
0.76563957,0.742688988
0.927871859,0.584470282
1.202748133,0.397166395
1.507661236,0.294620808
1.805922865,0.225465356
2.16318979,0.172542555
2.651664829,0.135698294
3.399012639,0.094946305
4.458774478,0.068272138
5.527032868,0.052146846
6.775105325,0.041011552
8.302946142,0.031344983
10.18038164,0.025366616
