R,P
0.04259651,183.6217342
0.044081375,183.2703551
0.046142022,182.8028953
0.048853814,182.220247
0.080732232,172.1787834
0.081538051,144.9453721
0.081436886,125.6384854
0.082229318,102.7853168
0.083070704,89.03733028
0.082967636,77.17745767
0.083795768,64.97034709
0.083691801,56.31622373
0.084548151,48.78368206
0.085413263,42.25865083
0.085286111,35.59734716
0.087126857,29.9478097
0.088963142,23.79467795
0.090860687,19.45409041
0.092844801,16.84126435
0.094895801,15.00219438
0.098057564,12.61318981
0.101349835,10.91217712
0.104752642,9.440562719
0.108269699,8.167409993
0.111932629,7.270883141
0.114376888,6.294350571
0.118217077,5.445495494
0.122155866,4.578334778
0.127771004,4.19130628
0.138268601,3.721714499
0.144660307,3.505913838
0.158383103,3.201355761
0.171438336,2.92512162
0.185569687,2.672722787
0.203223691,2.511325169
0.222501939,2.293166823
0.243669459,2.154689439
0.269849076,1.966256158
0.305746514,1.792012081
0.334833431,1.68379791
0.366687506,1.582118464
0.401472292,1.44468013
0.444606097,1.318339039
0.492251917,1.169139122
0.589780865,0.920659269
0.683169541,0.769123702
0.79134582,0.642530074
0.906466155,0.552693484
1.026031832,0.449282862
1.148749601,0.386959322
1.408151484,0.304329095
1.594682715,0.261945926
1.826214276,0.218970798
2.067610881,0.183163123
2.367806756,0.153113186
2.68079331,0.12807502
2.967341283,0.110379185
3.322247915,0.095067625
3.804604209,0.079470729
4.308582307,0.068403035
5.048153849,0.057107789
6.474144694,0.042308896
8.115428932,0.031385035
10.17532737,0.023956858
