R,P
0.097112597,15.41759187
0.101652264,15.37826688
0.107626424,15.32925167
0.113951688,15.28039269
0.122004305,14.79293865
0.132159307,14.72697134
0.144804054,14.65194025
0.158658625,14.57729143
0.171864541,14.51228577
0.179898593,14.47526991
0.190471333,14.42913283
0.190187784,12.15464385
0.189951814,10.53563161
0.189716138,9.132273621
0.191609767,7.68782757
0.191324522,6.475982112
0.190992273,5.301409045
0.190755306,4.595255394
0.192707149,3.98061985
0.19251585,3.550466141
0.194534004,3.164774412
0.194292642,2.743222898
0.19628068,2.376304816
0.198338301,2.11816375
0.20509931,1.940343728
0.219538532,1.82550186
0.232383226,1.768395937
0.243125545,1.665856902
0.260241857,1.567260908
0.278563177,1.474500451
0.298174339,1.387230148
0.315541475,1.305958616
0.333920158,1.229448415
0.357428514,1.156681847
0.378246904,1.088917096
0.404976454,1.054179963
0.433487252,0.991786896
0.463890046,0.906787745
0.496548428,0.853118286
0.537478016,0.779505599
0.588464367,0.711790094
0.644287396,0.649957023
0.754879834,0.542631021
0.874845394,0.479992606
0.9904861,0.401500775
1.108952448,0.345805461
1.241896196,0.306474003
1.422559949,0.263623745
1.610599845,0.220514101
1.865629801,0.184218665
2.210427096,0.149368833
2.618298076,0.117698252
3.173880373,0.09531073
3.677360487,0.081932346
4.557271598,0.060816805
5.399526004,0.049311698
6.545263033,0.039932062
7.754929059,0.032377857
10.28454917,0.02197372
