R,P
0.238936337,3.128611071
0.252978758,3.118639238
0.270923254,3.106714982
0.290140602,3.09483632
0.303703636,3.086942455
0.317900694,3.079068724
0.32524619,3.075139394
0.328411041,2.515783087
0.327596617,1.890209192
0.330045969,1.195559698
0.329718333,1.066365136
0.333092072,0.923734127
0.340534828,0.846727015
0.356276643,0.797630221
0.377121569,0.772678502
0.403571134,0.706457606
0.446930436,0.644676024
0.560650884,0.521052443
0.719200804,0.39722275
0.881824179,0.321461234
1.325372162,0.204597943
1.643320297,0.160805958
2.10752162,0.119134756
2.828495601,0.085555778
3.971593508,0.05787865
5.967779935,0.035799315
8.190328908,0.024249251
10.15513538,0.01905896
